ID;Bezeichnung;WKN;secu;ISIN;Branche;Sektor;Indizes;WP_Art;Veraenderung_zum_Vortag_€;Veraenderung_zum_Vortag_%;link_Hauptseite;link_Chart;link_Kurshistorie;link_Analysten;link_GuV;Boerse_ID;;;;
229963;Blackstone Group Inc., The;A2PM4W;;US09260D1072;Vermögensverwaltung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Blackstone-aktie;;https://www.ariva.de/Blackstone-aktie/Kurse/historische-kurse
229964;Investor A (FRIA) O.N.;A3CMTF;;SE0015811955;Vermögensverwaltung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Investor-aktie;;https://www.ariva.de/Investor-aktie/Kurse/historische-kurse
229965;Brookfield Corporation;A3D3EV;;CA11271J1075;Vermögensverwaltung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Brookfield-aktie;;https://www.ariva.de/Brookfield-aktie/Kurse/historische-kurse
229966;A.P.Møller-Mærsk A/S;861837;;DK0010244508;Seeschifffahrt;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/A.P.Møller-Mærsk-aktie;;https://www.ariva.de/A.P.Møller-Mærsk-aktie/Kurse/historische-kurse
229967;Wallenius Wilhelmsen ASA;A1C0ZS;;NO0010571680;Seeschifffahrt;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Wallenius-aktie;;https://www.ariva.de/Wallenius-aktie/Kurse/historische-kurse
229968;Forestar Group Inc.;A2H5CR;;US3462321015;Immobilien-Entwicklung;Immobilien;;;0;0;;;;;;6;;https://www.ariva.de/Forestar-aktie;;https://www.ariva.de/Forestar-aktie/Kurse/historische-kurse
229969;ME Group International Plc;854667;;GB0008481250;Geschäftsausstattung & Zubehör;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/ME-aktie;;https://www.ariva.de/ME-aktie/Kurse/historische-kurse
229970;Berkshire Hathaway Inc.;854075;;US0846701086;Versicherung - Diversifizierte;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Berkshire-aktie;;https://www.ariva.de/Berkshire-aktie/Kurse/historische-kurse
229971;Evolution Gaming Gr.AB (publ);A2PK19;;SE0012673267;Glücksspiel;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Evolution-aktie;;https://www.ariva.de/Evolution-aktie/Kurse/historische-kurse
229972;Heineken Holding N.V.;A0ETXG;;NL0000008977;Getränke - Brauereien;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Heineken-aktie;;https://www.ariva.de/Heineken-aktie/Kurse/historische-kurse
229973;Christian Dior SE;883123;;FR0000130403;Luxuswaren;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Christian-aktie;;https://www.ariva.de/Christian-aktie/Kurse/historische-kurse
229974;VIZIO Holding Corp;A2QR0L;;US92858V1017;Verbraucherelektronik;Technologie;;;0;0;;;;;;6;;https://www.ariva.de/VIZIO-aktie;;https://www.ariva.de/VIZIO-aktie/Kurse/historische-kurse
229975;MEDION AG;660500;;DE0006605009;Verbraucherelektronik;Technologie;;;0;0;;;;;;6;;https://www.ariva.de/MEDION-aktie;;https://www.ariva.de/MEDION-aktie/Kurse/historische-kurse
229976;Ericsson (Telefon L.M.Ericsson;850001;;SE0000108656;Kommunikationseinrichtung;Technologie;;;0;0;;;;;;6;;https://www.ariva.de/Ericsson-aktie;;https://www.ariva.de/Ericsson-aktie/Kurse/historische-kurse
229977;Poste Italiane S.p.A.;A14V64;;IT0003796171;Konglomerate;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Poste-aktie;;https://www.ariva.de/Poste-aktie/Kurse/historische-kurse
229978;Nolato AB;901432;;SE0015962477;Konglomerate;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Nolato-aktie;;https://www.ariva.de/Nolato-aktie/Kurse/historische-kurse
229979;Schouw & Co. AS;882803;;DK0010253921;Konglomerate;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Schouw-aktie;;https://www.ariva.de/Schouw-aktie/Kurse/historische-kurse
229980;Royal Bank of Canada;852173;;CA7800871021;Banken - diversifiziert;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Royal-aktie;;https://www.ariva.de/Royal-aktie/Kurse/historische-kurse
229981;On Holding AG;A3C20K;;CH1134540470;Schuhe und Accessoires;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/On-aktie;;https://www.ariva.de/On-aktie/Kurse/historische-kurse
229982;Intact Financial Corp.;A0RNQW;;CA45823T1066;Sach- und Unfallversicherung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Intact-aktie;;https://www.ariva.de/Intact-aktie/Kurse/historische-kurse
229983;High Tide Inc;A2PBPS;;CA42981E4013;Pharmazeutische Einzelhändler;Gesundheitswesen;;;0;0;;;;;;6;;https://www.ariva.de/High-aktie;;https://www.ariva.de/High-aktie/Kurse/historische-kurse
229984;Thomson Reuters Corp;A3EETN;;CA8849038085;Spezielle Unternehmensdienstleistungen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Thomson-aktie;;https://www.ariva.de/Thomson-aktie/Kurse/historische-kurse
229985;Alimentation Couche-Tard;A3DSL8;;CA01626P1484;Fachhandel;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Alimentation-aktie;;https://www.ariva.de/Alimentation-aktie/Kurse/historische-kurse
229986;Adecco Group AG;922031;;CH0012138605;Personalvermittlung und Personaldienstleistungen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Adecco-aktie;;https://www.ariva.de/Adecco-aktie/Kurse/historische-kurse
229987;Games Workshop Group PLC;900512;;GB0003718474;Freizeit;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Games-aktie;;https://www.ariva.de/Games-aktie/Kurse/historische-kurse
229988;Allegro.eu Registered Shares ZY -,01;A2QEGF;;LU2237380790;Internet-Einzelhandel;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Allegro.eu-aktie;;https://www.ariva.de/Allegro.eu-aktie/Kurse/historische-kurse
229989;Coupang;A2QQZ2;;US22266T1097;Internet-Einzelhandel;Zyklische Konsumgüter;;;0;0;;;;;;6;;#WERT!;;#WERT!
229990;PennyMac Financial Services;A2N8PG;;US70932M1071;Hypothekenfinanzierung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/PennyMac-aktie;;https://www.ariva.de/PennyMac-aktie/Kurse/historische-kurse
229991;First National Financial Corp.;A1H4UM;;CA33564P1036;Hypothekenfinanzierung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/First-aktie;;https://www.ariva.de/First-aktie/Kurse/historische-kurse
229992;A.P.Møller-Mærsk A/S;861837;;DK0010244508;Seeschifffahrt;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/A.P.Møller-Mærsk-aktie;;https://www.ariva.de/A.P.Møller-Mærsk-aktie/Kurse/historische-kurse
229993;Wallenius Wilhelmsen ASA;A1C0ZS;;NO0010571680;Seeschifffahrt;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Wallenius-aktie;;https://www.ariva.de/Wallenius-aktie/Kurse/historische-kurse
229994;ESAB Corp;A3DG4P;;US29605J1060;Metallerzeugung;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/ESAB-aktie;;https://www.ariva.de/ESAB-aktie/Kurse/historische-kurse
229995;ME Group International Plc;854667;;GB0008481250;Geschäftsausstattung & Zubehör;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/ME-aktie;;https://www.ariva.de/ME-aktie/Kurse/historische-kurse
229996;Schouw & Co. AS;882803;;DK0010253921;Konglomerate;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Schouw-aktie;;https://www.ariva.de/Schouw-aktie/Kurse/historische-kurse
229997;High Tide Inc;A2PBPS;;CA42981E4013;Pharmazeutische Einzelhändler;Gesundheitswesen;;;0;0;;;;;;6;;https://www.ariva.de/High-aktie;;https://www.ariva.de/High-aktie/Kurse/historische-kurse
229998;Assa-Abloy AB;A14TVM;;SE0007100581;Schutz und Sicherungsdienstleistungen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Assa-Abloy-aktie;;https://www.ariva.de/Assa-Abloy-aktie/Kurse/historische-kurse
229999;ADT Inc.;A2JBN6;;US00090Q1031;Schutz und Sicherungsdienstleistungen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/ADT-aktie;;https://www.ariva.de/ADT-aktie/Kurse/historische-kurse
230000;Securitas AB;883870;;SE0000163594;Schutz und Sicherungsdienstleistungen;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Securitas-aktie;;https://www.ariva.de/Securitas-aktie/Kurse/historische-kurse
230001;Fidelity National Finl Inc.;A1166U;;;Internet-Inhalte und Information;Kommunikationsdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Fidelity-aktie;;https://www.ariva.de/Fidelity-aktie/Kurse/historische-kurse
230002;KKR & Co;A2LQV6;;US31620R3030;Spezialversicherungen;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/KKR-aktie;;https://www.ariva.de/KKR-aktie/Kurse/historische-kurse
230003;D'Ieteren S.A.;A1H5AN;;US78351F1075;Spezialversicherungen;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/D'Ieteren-aktie;;https://www.ariva.de/D'Ieteren-aktie/Kurse/historische-kurse
230004;YETI Holdings Inc;A2N7XR;;US48251W1045;Vermögensverwaltung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/YETI-aktie;;https://www.ariva.de/YETI-aktie/Kurse/historische-kurse
230005;Chocoladef. Lindt & Sprüngli;859568;;BE0974259880;Auto und LKW Vertragshändler;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Chocoladef.-aktie;;https://www.ariva.de/Chocoladef.-aktie/Kurse/historische-kurse
230006;Barry Callebaut AG;914661;;;Chemikalien;Grundstoffe;;;0;0;;;;;;6;;https://www.ariva.de/Barry-aktie;;https://www.ariva.de/Barry-aktie/Kurse/historische-kurse
230007;Foncière des Murs S.C.A.;798307;;US98585X1046;Freizeit;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Foncière-aktie;;https://www.ariva.de/Foncière-aktie/Kurse/historische-kurse
230008;Amplifon S.p.A.;A0JMJX;;CH0010570759;Konditoren;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Amplifon-aktie;;https://www.ariva.de/Amplifon-aktie/Kurse/historische-kurse
230009;Ericsson (Telefon L.M.Ericsson;850001;;CH0009002962;Konditoren;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Ericsson-aktie;;https://www.ariva.de/Ericsson-aktie/Kurse/historische-kurse
230010;Capital Power Corp.;A0RP0Y;;FR0000060303;REIT - Hotel und Motel;Immobilien;;;0;0;;;;;;6;;https://www.ariva.de/Capital-aktie;;https://www.ariva.de/Capital-aktie/Kurse/historische-kurse
